"Use Case Name","Segment / Function","Date Updated","RAG Status","Stage","AI Tools","Use Case Strategy","Total Headcount Field","Use Case Description","Outcomes/Deliverables","Planned Status Q1 2025","Planned Status Q2 2025","Planned Status Q3 2025","Planned Status Q4 2025","Created","Modified","Modified By"
"Gong for Conversational & Revenue Intelligence ","GTM - Government","9/30/2025","Amber – delay/risks/challenges","Launch","Gong","Buy",,"TIME SAVINGS: Memorializing Customer Challenges for Customer ROI Breakdown - Commit/Swing Identification for Pipeline and Forecast - On-boarding Customer Conversations -Customer Feedback Analysis- Gain valuable insights from customer interactions -Deal Identification - Identify potential deals faster and more accurately - Memorialize Customer Challenges & Business Case

COMPETITIVE INTELLIGENCE: Updating SFDC or Inputting Notes in non-standardized system - Customer Feedback Analysis & Hand Off Between Partners -AI Capabilities that can analyze call content, sentiment, and patterns to provide actionable insights on competitive insights - Ability to Run Key Term Searches - Track Overall Account Health  -Integration w/ SFDC - User Satisfaction with  capabilities  - More detail and account knowledge on what customers are saying about our competitors' products/services - Track overall Account Health and Customer Satisfaction 

FORECASTING ACCURACY - Review Pipeline via SFDC during 1 on 1, provide coaching  - Commit/Swing Identification for Pipeline and Forecast - Assess the quality of insights generated by AI

","Conversational and revenue intelligence feedback in addition to simply being able to record & store meetings.","NA","NA","NA","Launch & Training","1/22/2025 12:47 AM","9/30/2025 1:31 PM","Coleman, Steve (Government)"
"Document Analysis & Client Meeting Optimization ","GTM - Legal","9/30/2025","Amber – delay/risks/challenges","Launch","CoPilot 365","Buy","695","CoPilot 365 is an AI-powered document and meeting intelligence platform that analyzes sales conversations, meeting notes, and customer interactions to provide actionable insights, recommendations, and guidance to employees. 

1. Teams: Summarize meetings, generate action items, catch up on missed content, and interact with chats and files in real time
2. Outlook: Summarize long email threads, draft replies, create inbox rules, and personalize themes
3. Word: Rewrite text, summarize documents, generate insights, and use Read Aloud for Copilot responses
4. Excel: Clean and organize data, automate formatting, generate pivot tables, and analyze trends
5. PowerPoint: Create presentations from documents, summarize slides, and ask questions about deck content
6. OneNote: Summarize, organize, and rewrite notes using natural language commands
7. Loop and Whiteboard: Collaborate in real time with AI-generated content and visual brainstorming 
","Considering this Amber has 74% of LP does not have a Copilot Paid license and their is a backlog of requests outstanding.

184 license deployed with  additional licenses under consideration. Only 26% of Legal Professionals (SLF, MLF, GLLF, LPE, CS, LP Transformation) have Copilot paid licenses. We would like to expand this to all of Legal Professionals but would focus solely on non-quota carrying roles to start. 

Meeting Intelligence Estimated Time Savings: 2-4 hours per worker/week – 1,472-2944 hours/month for 184 deployed licenses
40-60% faster

Email Triage and Summaries Estimated Time Savings: 1.5-3hrs per worker/week – 1,104-2,208 hours/month for 184 deployed licenses
30-50% faster

Retrieval/Search Estimated Time Savings: 0.5-1hr per work/week – 368-736 hours/month for 184 deployed licenses
40-60% faster","Deployment ","Deployment","Deployment","Deployment","1/22/2025 12:48 AM","9/30/2025 3:39 PM","Kuyper, Cassidy (Legal)"
"Customer Health Monitoring & Expansion Intelligence","GTM - Legal","9/30/2025","Green – as per plan or better","Launch","Gainsight","Hybrid","52","Gainsight CoPilot: Gainsight Copilot is an AI-powered conversational assistant embedded within Gainsight Customer Success platform. It enables users to interact with customer data using natural language, retrieving insights from structured company records and unstructured Timeline entries.

AI Cheatsheet: Generative-AI powered widget within the C360 view that automatically creates a narrative summary of a customer account. It synthesizes six months of Timeline data – including meetings, emails, milestones, and updates – into key insights such as strategic priorities, renewal discussions, risk, accolades, key projects, and personal changes. The summary is refreshed daily or manually and can be securely shared via email with internal stakeholders.

Write with AI: a GenAI feature embedded across multiple modules in the Gainsight CS platform – including Timeline, Journey Orchestrator, Cockpit, and C360. It assists users in drafting personalized, effective emails by generating content based on customer data and context. Users can customer prompts, integrate AI Intel insights, and automate follow-ups, making communication faster and more consistent. 

Gainsight Atlas Renewal Agent - Gainsight’s AI-powered solution designed to manage customer renewals at scale, especially in long-tail segments where human-led outreach is impractical. It delivers hyper-personalized engagement, automates risk detection, and mirrors the strategies of top-performing Customer Success Managers (CSMs) to improve renewal outcomes. 

Gainsight Atlas Adoption Agents identifies customer usage drop-offs and friction points by analyzing behavioral data. It then delivers targeted recovery strategies such as personalized email outreach or in-app guidance to re-engage users and boost product adoption.
","LPE CSMs & Customer Education will be onboarded in H2

27 of 52 active users in AI cheat sheet since the full launch in August 2025. Soft launch happened in May 2025 with 47 of 52 being active users (meeting logging only)

Looking to expand the AI functionality in H2 and beyond as well as adoption tactics to determine ROI.","Build and launch","Build and Launch","Adoption","Adoption","1/22/2025 12:51 AM","9/30/2025 4:12 PM","Kuyper, Cassidy (Legal)"
"Legal Knowledge & Playbook Intelligence Assistant","GTM - Legal","9/30/2025","Green – as per plan or better","Ideation","AI Platform","Build",,"Seismic Advisor is an AI-powered sales enablement platform that provides personalized content recommendations, playbooks, and messaging to sales reps based on customer interactions, sales behavior, and content performance. Here's how Seismic Advisor addresses the current challenges:

Content Recommendation: Seismic Advisor analyzes customer interactions, sales behavior, and content performance to provide personalized content recommendations to sales reps, ensuring they have the most relevant and effective sales content to engage with customers.
Playbook Guidance: Seismic Advisor provides sales reps with guided playbooks and messaging that are tailored to specific customer scenarios, enabling them to have more effective sales conversations and address customer pain points.
Skill Development: Seismic Advisor offers personalized skills development and coaching to sales reps, helping them develop the skills and knowledge needed to effectively engage with customers and close deals.
Sales Analytics: Seismic Advisor provides sales leadership with real-time analytics and insights into sales performance, enabling them to identify areas for improvement, optimize sales strategies, and measure the effectiveness of sales enablement initiatives.","Still under consideration","Assessing","Assessing","Assessing","Assessing","1/22/2025 12:52 AM","9/30/2025 4:15 PM","Kuyper, Cassidy (Legal)"
"Collaboration & Personal Productivity ","GTM - TAP","9/30/2025","Green – as per plan or better","Launch","CoPilot 365","Buy",,"Copilot serves as the day-to-day assistant, enhancing productivity, streamlining workflows, and starting TAAP down the path of harnessing collective intelligence. Primarily an individual productivity tool, it assists team members with a wide range of tasks, from drafting emails and generating reports to conducting research and analyzing data. It allows users to avoid unnecessary meetings to stay informed and helps the team translate every meeting into a work-product generating working session.","Free up 7.5% of users’ time to reinvest in higher-value activities such as team leadership, collaboration, and customer & sales experience ","Deepen use & engagement  
Performance monitoring 
Identify new value-add activities","Deepen use & engagement  
Performance monitoring 
Identify new value-add activities","Deepen use & engagement  
Performance monitoring 
Identify new value-add activities","New: Need to re-evaluate Copilot license / user strategy now that we have moved to a new approval process outside of AI bizlead approval. 

Deepen use & engagement  
Performance monitoring 
Identify new value-add activities","1/22/2025 12:54 AM","9/30/2025 3:38 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"Conversational & Pipeline Intelligence ","GTM - TAP","9/30/2025","Green – as per plan or better","Launch","Gong","Buy",,"Gong provides deep insights into customer interactions and sales processes. By leveraging AI to analyze conversations, Gong helps sales teams understand customer sentiment, identify key trends, and uncover coaching opportunities. This enables sales managers to tailor training and support to individual reps, improving overall performance. Additionally, Gong's pipeline intelligence offers real-time visibility into deal progress, helping teams spot potential risks and opportunities early. This data-driven approach enhances decision-making, boosts sales efficiency, and ultimately drives higher revenue growth.","Custom AI briefs (synthesize calls, deals, accounts for knowledge transfer) - Live: QBR Prep, Sales to Customer Success Handoff; In Progress: Account Planning
AI Call Reviewer with prompt frameworks for coaching - Status: Live
AI Deal Reviewer for pipeline qualification - Status: Live
Deal Monitor (AI alerts/warnings for pipeline health) - Status: Live
AI Transcript analyzer for Product teams (conversation insights by product) - Status: Early development/Beta
AI top themes distribution to Product organization (VoC insights) - Status: Active 
Gong Engage (AI tasking and coaching visibility) - Status: Active pilot (50 licenses since July 14) - addressing flow complexity and reporting issues
AI generated follow-up emails - Live
AI generating meeting prep - Deploying
","Deepen use & engagement  
Performance monitoring 
Curate & deploy best practice","Deepen use & engagement  
Performance monitoring 
Curate & deploy best practice","Deepen use & engagement  
Performance monitoring 
Curate & deploy best practice","Deepen use & engagement  (management 1:1 coaching checklist in gong, requiring all reps to populate next steps, and leveraging initiative boards to track stratigic goals)
Performance monitoring (weekly scorecards distributed) 
Curate & deploy best practice (gong resource page stood up and TAAP page in progress)","1/22/2025 12:55 AM","9/30/2025 3:43 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"AI-Powered Pre-Call Planning v1","GTM - TAP","7/31/2025","Red – stopped/postponed > 3 months","Not Implemented","CoPilot for Bing","Hybrid",,"Part of a series of use cases, where specific AI-habits will be integrated into and enhance the sales workflow. Implement an AI-powered pre-call planning solution that would deliver customer insights and tailored talking points, enabling more personalized and strategic conversations to boost the likelihood of closing sales while saving time and simplifying the reps' workflow.
v1 - Whitespace discovery, delivered through Copilot for Edge (Pre Call Planning v1)
v2 - Existing customer agentic workflow, delivered in collaboration with Customer Excellence via crew.ai (ACES)
v3 - Automated agentic workflow, delivered in collaboration with Customer Excellence (TBD)
","Improving efficiency while increasing quality, helping to improve conversion rate, win rate, and average order value.","Launched January 2025","Launching first iteration of v2","v1 not implemented due to hallucinations and no visibility to customer data. this will be replaced by the ACES tool. ",,"1/22/2025 12:56 AM","7/31/2025 4:34 PM","WILLIAMS, MAYA (Tax&Accounting Prof)"
"Content creation ","GTM - Global Print","8/29/2025","Green – as per plan or better","Launch","CoPilot 365","Buy",," Summary for commercial presentation​

 Articles for Blog​

 Commercial Review for eStore​

 Basic articles for Magazines","Efficiency gains, primarily within our Editorial operations","implemented","expand","expand","expand","1/22/2025 1:17 AM","9/26/2025 1:52 PM","Andrade, Caio H. (Print)"
"Book component creation ","GTM - Global Print","9/1/2025","Green – as per plan or better","Experimentation","Adobe Firefly","Buy",,"Assists in design and quality improvement. Faster, higher-quality book cover creation, improved editorial content","Book Cover briefing Book cover design Resumes for editorial catalogue Addition QR code content Quality improvement images ","Experimentation","Pilot","Adoption","Standard Practice","1/22/2025 1:18 AM","9/1/2025 1:57 PM","Andrade, Caio H. (Print)"
"Content Analysis ","GTM - Global Print","9/1/2025","Green – as per plan or better","Implementation","CoPilot 365","Buy",,"Technical review, grammar check, legislation conference, and authorial notes","Technical Review​

Author’s Original analysis​

Grammar Check​

Legislation conference​

Checkpoint Correlations​

Authorial notes for products","On Track","Pilot","Implementation","Adoption","1/22/2025 1:21 AM","9/1/2025 2:01 PM","Andrade, Caio H. (Print)"
