"Month / Year","Segment / Function","Update Date","AI Use Cases","Overall Status","Executive Summary","Key Risks and Issues","Progress on Use Case this period","Details on Change Management","Path Forward","Lead","Status on Change Management","Modified","Modified By","Questions / Assistance Needed from the Working Group"
"July 2025","CIO","7/31/2025","Test automation framework for SAP (Tosca),Project Aether (formerly AskJulius Orchestrator),Global Command Center (GCC) Optimization,Monitoring & Observability,Global Service Desk Self-Service,Accelerated SCA Remediation through Code Modernization Tools,TRueGRC,Cyber Compliance Query Bot,IAM Chatbot,Customer Trust AI","Green - As per plan or better","The CIO Internal AI Use Cases program is undergoing a strategic realignment to optimize our approach to AI implementation across the organization. As part of CIO AI Reimagine, we have initiated a comprehensive review of our current portfolio to ensure maximum value delivery and accelerated time-to-market for high-impact initiatives.","None identified for the moment","Current use cases have been placed in a strategic assessment phase as we implement a new governance framework. This period has focused on establishing enhanced evaluation criteria and assembling specialized expertise to drive more targeted outcomes. Existing proof-of-concepts are continuing while the strategic review is set in place.","A refined change management process is being developed as part of the strategic realignment. The new framework will emphasize rapid iteration, clear success metrics, and enhanced stakeholder engagement.","We are establishing a specialized team structure to provide focused support and accelerated decision-making for all AI use cases. This new approach will streamline evaluation processes and remove implementation barriers.","Almaguer, Fernando (TR Technology)","Just getting started","8/7/2025 10:08 AM","Almaguer, Fernando (TR Technology)",
"Nov 2024","GTM - Corporates","1/22/2025","[]","Amber","Corporates AI strategy is to focus on internal and third-party tools that enable productivity gains and operational efficiencies that improve both internal collaboration and external customer satisfaction levels thereby improving Net Revenue Retention (reduce churn and drive revenue) ​

In Q3 we continue to test and begin adoption of the GenAI tools that will drive the most value into 2024 and beyond. With a headcount of 1,263 across Sales, Customer Success, Professional Services, and their support teams, we are leveraging tools such as Open Arena, CoPilot on Bing, Microsoft Copilot, Conversica, Gainsight, Salesforce (Einstein + Revenue Intelligence), and Gong. These tools are aimed at enhancing productivity, operational efficiencies, internal collaboration, and external customer satisfaction, ultimately driving increased Net Revenue Retention.  ​

Full operational and financial impacts are still to be confirmed, early adoption suggests promising improvements. ​","Additional resourcing is needed to deliver on this extensive adoption plan including resources to deliver on initiatives and development of internal use cases specifically within Professional Services  ​

Copilot for MS 365 still needs reliable, enterprise-wide reporting and measure of success (e.g. three shared reports to date, which should be used?)​

​

Gong adoption (and any Salesforce AI tool) involves significant change mgmt with a sales process and data management needing to be defined first, heavy support from CE will be needed on strategy, roll out and support (Gong support will be limited and defers to our CE team) ​

​

Conversica need operational support from CE and CS Ops going forward  ​","3 use cases from Professional Services team presented for development with two of three under way and third to still be assigned to a team for development​

 ​

500 additional Copilot for MS 365 licenses assigned week of 9/8 with 90-minute kick-off training by 9/12 (~200 license holders attended); waitlist now at 20; regular office hours and on-going support by ETS team; gathering prompts and identifying prompt champions ​

 ​

Gong trial under way: 8-week implementation period started with group of 8 champions helping to define; actual pilot to launch 10/30 through year end for 40 Corporates participants​

​

  ​","Corporates Introduction to Open Arena: Training provided 6/12 ​

Sales Enablement offering virtual, instructor lead workshops on Open Arena + Copilot on Bing started 8/2024 (327 attendees as of 9/24)​

Corporates Eye on AI Launch – Teams channel launched 8/15 and champions network launched 8/20​

Copilot for 365 training held 9/12​

September OHI survey included question on AI to gauge pulse on adoption​

76% OHI participants responded that they agree that the org helps them understand and use AI in their daily work​

Newsletter on pause given competing Future of Corporates (FoC) priorities​

End of year email communication to go out in December in lieu of presentation on Nov/Dec G2M meetings (bumped for FoC), email will focus on: ​

Status update – Copilot, Open Arena workshops, Gong pilot, internal use case development ​

Ensure leaders are aware of capabilities of Data Analytics team and internal development projects​

Three ways to use Gen AI today​

​","Finish Gong pilot by end of year and gather feedback for future reference​

Corporates will not move forward with Gong in 2025 given lack of centralized funding and resources to support meaningful roll-out​

Focus on optimizing GenAI tools within Salesforce and Gainsight ​

Focus on accelerating Professional Services uses cases for internal process improvement (Professional Services focus group met 11/20) ​

Conversica renewal out for TR signature as of 11/25 ​

​","Waschitz, Stephanie (Corporates)","Progressed and being actively managed","2/3/2025 9:45 AM","Morse, Jonathan R. (TR People)",
"September 2025","GTM - Government","8/27/2025","[]","Amber","The Government Internal AI Program status is Amber.  Copliot licenses were provisioned for Gov Legal while we are waiting on licenses for CMS & Risk.  We held a Sales Connect where Jacob Walls showcased Copilot and Steve Coleman showcased the Researcher agent.  We are now looking to drive adoption and scale when we get more licenses.

We have 12 users on Gong and while not all adopt on a daily basis, those who use regularly love the tool, capabilities and benefits.  Launching pan Gov Legal Gong pilot on 10/1.  Waiting on Gov Risk licenses to be funded.

'The Sixth' has been created for Gov.  Iterations and further development needed.","Too many tools - AI tool fatigue.  So many different groups working on similar initiatives.  Need to centralize and better communicate reporting, expectations and developments.","Additional licenses Copilot and Gong licenses received for Gov Legal.","More robust Change Management needs forthcoming with increase in Gong and Copilot users.  Once Gong licenses are solidified, Gov GTM team will develop change management plan with internal Gong team as well as Gong Customer Success team.  We will repurpose plan from pilot launch and ensure leadership support/buy-in to drive utilization and adherence to the tool","Gong and Copilot licenses for Gov Risk and CMS.","Coleman, Steve (Government)","Progressed and being actively managed","9/30/2025 1:38 PM","Coleman, Steve (Government)",
"Nov 2024","GTM - LATAM","4/30/2025","[]","Green","Latam team has been included on the Gong Pilot until the end of the year. It was necessary additional alignments within the provider to understand what capabilities we should expect to test since not all the functionalities will be available since we are not going to connect Gong with the local CRMs we have in the Region. ​

The decision was made to move forward with the pilot without having additional projects being required and test only the functionalities that are available in this model.","During the first discussions of the pilot, we’ve identified that Gong cannot connect the same instance of the tool with difference SFDC instances. Since Latam users are on S2E SFDC instance or SGD as their CRMs, we needed to understand the capabilities / options to be considered under the pilot scope before moving forward. ​

We explored the different options for your Gong implementation, including setting up a new instance, using the existing GSI Salesforce instance, or waiting for another time. ​

We reviewed a comparison matrix of Gong features that would be available under each option, highlighting the limitations of the existing GSI instance in terms of account-based functionality. ​

We will need to have a local person trained by the Gong team due to language limitation, with that our launch will be postponed, since there is the need of a new SOW for the train the trainer program.","Licenses were sent to all 10 users.​

The Train the trainer session was held on December 3rd. ​

We will now translate the training material and schedule local session in Portuguese and Spanish.​

Gong integration with Genesys was confirmed. ​

We have confirmed that we need to get consentient from the Customers, so the ‘opt in” option to record the call must be configured.



","We have identified our local resource to be trained by the Gong team and then train our team in the tool, as the trainer. We are now waiting for the SOW procedures to be finished and to schedule the train the trainer sessions with our local resource and finally train our users.","Next Steps:​

Translate training material​

Schedule internal training for users (Portuguese and Spanish)​

Integrate with Genesys and Teams​

Finalize “opt in” option to consent recording​

Finalizing Change Management communications and training","Busch, Paulo O. (TR Commercial Excellence);Rocha, Matheus (LatAm);de Camargo, Ana Paula (TR Commercial Excellence)","Just getting started","5/5/2025 7:13 AM","de Camargo, Ana Paula (TR Commercial Excellence)",
"Nov 2024","GTM - Legal","1/22/2025","[]","Amber","

​The activities in November have primarily focused on the implementation and official launch of the Gong trial. ​

​

The pilot participants have access to the Gong platform and have been directed to the Gong Academy, a self-led training tool that helps end users utilize Gong effectively. Live training for Legal took place on November 6th. Gong SteerCo has finalized feedback metrics and method.  As part of Internal Change Management, Legal will utilize the Gong feedback loop as a prototype to gather feedback, benefits, and assessments for all future tech evaluations, which can then be applied to other tech evaluations and segments. Thus far, preliminary feedback reflects that Gong looks good for front leader productivity (reducing time spent on forecasting (~2 hrs per week) and that it provides greater forecasting accuracy. Also time savings around tasks such as meeting prep, meeting summarization is reducing tasks down to about 5 minutes as opposed to 15 to 20. We expect to see more and better data as the trial continues, and more feedback comes in.​

​

Copilot 365: 150 licenses were deployed on October 25th and now being utilized across the segment.​

​

Gainsight: Gainsight has been provisionally approved, and solution is due to be deployed  April 2025​

​

Copilot 365: 150 licenses were deployed on October 25th and now being utilized across the segment.​

​

Gainsight: Gainsight has been provisionally approved, and solution is due to be deployed  April 2025​

​

​","Gong : Trial runs October-December and there is currently discussion around length of trial. Funding may also present some challenges in 2025 given current budget projections, so critical to determine ROI for purposes of a strong business case.​

​

Need strong change management cadence to drive adoption. Teams are adapting to a significant amount of change currently with new products, new vision for TR GAI, new selling skill (from product selling to value/ROI-based selling) and new CS model. Risk of introducing too much change at one time – mitigate with showing value to the rep/team member on how our internal adoption will support their new workflow and will streamline their efforts to drive efficiencies. The Gong change management strategy revolves around a 'leaders first' approach, cultivating a culture of innovation and adaptability and focus on developing powerful internal champions who drive transformation from within. by leveraging targeted use cases, for a clear and digestible way to apply Gong to their day to day workflow. ​

​

Gainsight incorporated in Customer Success business case.  ​

​","Gong is set to launch on March 3 to 500 Legal Sales and Client Management users across GLLF, MLF, SLF, and LPE. Change management communications have been released, leading up to the launch and 3 live training sessions will occur over March 3 & 4 to ensure all reps and managers are available to attend. Throughout March 3 support sessions will be available per week for rep guidance. 


GAINSIGHT: ","As part of project Panther, the Sales Tools & Technology workstream will:
- Complete reassessment of tool usage and rep experience
- Deliver the future state operating model with defined tools and processes for each stage of the sales cycle by persona
- Determine budget and investment needed for licenses to standardize tool utilization
- Develop rep training and change management
- Develop usage and adoption reporting, ongoing monitoring, & license management plan
- Develop process for considering new technology

Planned initiatives include:​

Collaboration with Business Transformation Leads: We have identified representation from each subsegment to work with the business transformation team on Sales Transformation.

Quarterly Stakeholder Meetings with Segment/CE: Once Steer Co has been established with the Business Transformation lead, we will establish a quarterly stakeholder meeting to provide feedback to CE on sales tech and reevaluate the champions program and responsibilities ​

​

AI initiatives that have been rolled out by other enterprises that are currently under consideration to be utilized for Legal are:​

3 Ways to Use AI Today – Focus on 3 key AI tools supporting sales – briefly highlight capabilities and benefits – encourage engagement supporting 2025 OKRs​

Quarterly AI Email Comms - Status update re Copilot, Open Arena workshops, Call AI, Gong pilot and other relevant tech. Highlight benefits, AI success stories etc ","Copilot 365 Licenses: Licenses have been deployed to end users and comms have been sent.​

Gainsight: 

Gong: CE has recommended the following phases: 
1. Crawl Phase (0-6 Months):  
Use Cases: Activity Tracking (integration with Salesforce) – automation of activity tracking, ease of logging. Understanding of touch points with customers and interactions.
Call Insights – call summaries, recaps etc. providing ease to follow up and track this in Salesforce
Outcomes: Ramp time & Rep Productivity
2.  Walk Phase (6-12 Months): Use cases:
Customer Call Coaching on retention and expansion – insights and feedback on customer calls to improve effectiveness of sales.
Manager Coaching and Visibility – ease for managers to be able to view the customer interactions and being able to coach on key discussions and decision point
Outcomes: Retention and expansion
3. Run (12+ months)
 Use cases:
enrichment of sales rep insights on customer data through AI analytics & Competitive intelligence
Outcomes: Pipeline Generation & Pipeline Conversion

Plans are currently being formed to utilize Gong to support Partnerships discovery. 
","Hutchins, Tasha (Legal);Emerson, Lindsay (Legal)","Progressed and being actively managed","2/27/2025 10:44 AM","Council, Marissa (TR Commercial Excellence)",
"Mar 2025","GTM - Global Print","5/30/2025","[]","Green - As per plan or better","In March we launched our central use case repository - the ""Global Print Innovators Hub"" - to facilitate visibility of use cases across our business for all Global Print team and scale adoption of successful use cases. 

We continue to explore opportunities for knowledge sharing and training across functional areas and regions, and identifying opportunities through collection of our use cases in best options for scale and ROI.

​","- No risks or issues to report at this time","Most use cases continue in “experimentation” phase and we’re in regular communication with Early Adopters on status of these tests as well as measurement of efficiency gained​

Contests for use case submission and adoption details with launch of ""Global Print Innovators Hub"" anticipated to provide additional visibility to adoption and productivity metrics.","Moved into regular cadence with AI Early Adopters program​

Transitioned from “Why” statement to active guidance & follow up on implementation of AI in daily activities for each business area","Validate baseline data​

Build documentation to share knowledge​

Measure the engagement and results​

Refine Use cases list with metrics​

Continue building the “AI Story” for each of our major business functions​","Lennox, Brittany (Print)","Progressed and being actively managed","5/30/2025 3:48 PM","Lennox, Brittany (Print)",
"Nov 2024","GTM - TAP","1/22/2025","[]","Green","TAP’S Internal AI Program is progressing well, with the overall status marked as green. The project is on track, with a key pivot to Workflow-centric Exploration and a mandate for Gong call recording. Gong expansion has reached all US-based members of the revenue team with the recent expansion to Sales Development Representatives. Focus remains on adoption through workflow-centric habits, with the team taking on two workflow-specific use cases: Pre-call Planning and Sales Commercial Policy Chat Bot for assembly and deployment in Q4.​","Sales Commercial Policy Chat Bot: Commercial Policy team has documentation to update and TAP-specific policies must be identified and included. Commercial Policy team has conflicting priorities and struggling to identify TAP-Specific policies for inclusion.​

Copilot Studio created Copilot has been glitchy since going into testing.","Sales Commercial Policy Chat Bot has entered testing with subject matter experts​

Pre-Call Planning initial scope defined; exploring technical execution path​

DETAILED STATUS ON EACH PROJECT INCLUDED AS SLIDE 9 + 10","Adoption, as reported via this Dashboard, is at 74% for October, an 1% increase from September, indicating Gong call recording mandate and additional users onboarded to Gong and Copilot, combined with change management efforts are driving adoption.​

TAP AI focus has pivoted from Open Exploration to Workflow-centric Exploration, seeking to build on strong adoption momentum to drive up integration into day-to-day work, making use habitual ​

Conduced sales workflow listening sessions, resulting in 20+ use cases added to backlog and two prioritized for Q4 delivery.​

Revamping communications and meeting cadences as program focus evolves.​

Are actively assessing team structure for supporting these initiatives heading in 2025 ","Continue training and leadership accountability for call recording within Gong ​

Identify and reinforce atomic habits for adopting AI (e.g. need to record call with Gong to utilize call summary, next actions, and follow up email drafting capabilities) ​

Reinforce and support recent Gong expansion to CEs and SDRs ​

Assemble solution squads to develop MVP of two key use cases","Yopp, Justin (Tax&Accounting Prof)","Progressed and being actively managed","2/3/2025 9:45 AM","Morse, Jonathan R. (TR People)",
"Nov 2024","Reuters - Editorial","1/27/2025","[]","Green","Next two Newsroom tools due to move into QA in December – Packaging and video shotlisting. 2025 planning well underway for Newsroom and client-facing Product streams. Newsroom 25 will also include moving some of our 24 work into BAU and working out what on-going measurement, refining etc needs to happen regularly. Also now working out how to integrate more AI into the functions beyond the newsroom including Sales, GCO. ","As we move some of our internal projects towards commercialisation, we need some different roles and structures. This is beyond the scope of the Internal AI Program but will be a large part of our shift in focus for 2025. There have been some delays on one of our client-focused projects due to ownership and planning processes which have shown us the need to start thinking differently in a fast test-and-iterate world.
eyond Newsroom, many of our commercial teams now need more help to integrate AI into their workflows and are finding limitations with the UI of Open Arena and limitations on which data we can use safely e.g. financial/HR/client data. We need to unlock some of these issues with the AI Platform and Responsible AI groups to understand where the limits are and how we can work within them. 
","Fact Genie has been expanded to include feeds from Italy, Poland, India, Australia and Singapore. Each has required quite a bit of extra work e.g. currency conversions, formatting etc. 
LEON usage seemed to drop which made no sense. The team worked out that changes to an ad blocker meant the data was not being captured of all the users so we are working to rectify that between Product and Editorial. 
AI-driven packaging tool now launched in lower environment for testing
Translation prompts are showing more than 75% reduction in errors vs DeepL. 
AI-assisted shotlisting delayed due to bugs in deployment of other tools but goes into testing w/c Dec 9. Positive client feedback about using synthetic voices in non-English packaged video (this is on the client side but requires some change management internally)","We are now starting the change management on the Packaging team as we have merged two teams into one and are starting to prepare for the introduction of the new packaging tool. There is concern on the video desk that the new shotlisting tool may, in fact, add work without significant tuning so we may have to do more testing and iteration before rolling it out. This is a much anticipated time saver so we need to get it right for our colleagues as well as for our clients.  On AI-assisted non-English video, we need to explore exactly where the HITL sits and who does the QC from which team, rather than replicating old structures on the video team. 
Another 146 people trained on AI in LEON and Open Arena. 75 people attended AI for Visuals training. 55 did prompt workshops. 
We need more training and help integrating AI into the work of colleagues on our commercial teams and working out which are the best tools for them, where, at what cost and to what immediate benefit. 
As we expand the Reuters AI Strategy to build more tools for our clients, we will need new roles and structures but that will sit outside the scope of the Internal AI group. ",,"Barrett, Jane E. (Reuters)",,"1/28/2025 12:45 PM","Morse, Jonathan R. (TR People)",
"Nov 2024","Editorial (Product)","1/27/2025","[]","Green","All funded AI use cases remain on track for dev complete by EOY; expanded use cases are scheduled for delivery shortly after.  Onboarding and launch to Editorial customers currently in progress.  AEM Editorial ideas are being incorporated into existing Editorial inventory and process;  ideas identified for Fast-Track build and deployment and work underway; AI projects for 2025 have been re-evaluated and finalized.","RISK:  Some of the components in projects scheduled for 2025 will include problem sets that currently do not have a known solution.","Finalized Editorial AI priorities for 2025","Onboarding Editorial customers to new features being released.","•	Review all ideas that have come in and assign to the appropriate integration lane.
•	Assign small team to focus on specific, low degree of integration ideas, to fast track to launch.
•	Execute on change management and launch plans.
","Mulrooney, Lisa K. (TR Product)",,"1/28/2025 12:59 PM","Morse, Jonathan R. (TR People)",
"Nov 2024","Latam Editorial","1/28/2025","[]","Green","Brazil: MS Copilot is and Open Arena are being used for: summaries from different sources; document indexing; text creation; validation and updating of texts; spelling check; PPT presentations; file location in SharePoint. For September we started to measure benefits of using Open Arena (until August we were considering only Copilot hours saved). Due to a lower number of documents to be delivered and also to the type of content worked in November, the hours saved were lower.

Argentina: MS Copilot is being used for: summaries from different sources; text creation; validation and updating of texts; spelling check; analysis of jurisprudence and doctrines; PPT and video presentations. Additionally, it helps editors to select doctrines and rulings more quickly.","Brazil:
Risk: number of hours we save depends on the type of content is published by government (i.e. legislation that changes another existing one usually brings bad results when its added value is done by AI).
Issue: to achieve results in a superior range it´s essential to automate editorial tasks (despite AI use)

Argentina: 
To achieve results in a superior range, it is essential to automate editorial tasks (despite AI use). We are evaluating automation using Open Arena with the MAF team ","Brazil:
Copilot - Number of hours saved (monthly) since April are increasing accordingly (August hours are smaller because the type/amount of official publication vary): 
67:39:35	69:14:31	88:19:59	96:35:13	93:45:55	120:17:53	138:03:16	96:17:16

Open Arena – we started controlling saved hours in September:

35:40:41	33:12:47	50:05:06


TOTAL AMOUNT OF HOURS SAVED USING AI in November =
146:00:00

Argentina:
Task	Without AI (hs)	With AI (hs)	Monthly amount (unit)	Monthly total without AI (hs)	Monthly total with AI (hs)	Saving (hs)
News writing	1,50	0,67	360,00	22,50	10,00	12,50
Intelligent summaries of magazines (Script)	2,00	0,75	72,00	6,00	2,25	3,75
Selection of relevant doctrine (50,000 characters)	0,50	0,25	960,00	20,00	10,00	10,00
Intelligent analysis of Diario La Ley (50,000 characters)	1,00	0,50	480,00	20,00	10,00	10,00
Analysis of rulings	1,50	0,58	1680,00	105,00	40,83	64,17
Total	6,50	2,75	3552,00	173,50	73,08	100,42
","Brazil:
On track. Only one analyst mapped as resistant to the use of AI.","Brazil:
For this year expectations are to improve same use cases with list of prompts, best practices and team mindset (through our “AI Ideas and Best Practices” group). 

Argentina:
For this year expectations are to improve same use cases with list of prompts, best practices and team mindset (through our “AI Ideas and Best Practices” group). ","Ono, Juliana Mayumi O. (LatAm);Cagliero, Yamila S. (LatAm)","Fully integrated","1/28/2025 12:42 PM","Morse, Jonathan R. (TR People)",
